Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:05","00:06:20","<b>&quot;Suena los tambores&quot; </b>por Plenibom<br><b></b><br><b>Soneo 1</b><br>Suena los tambores <br>pintando <br>Suena los tambores <br>ritmos africanos <br>Suena los tambores, vamos a bailar <br>Tambores del uvia <br><b></b><br><b>Coro </b><br>Tambores, tambores<br>Tambores, tambores <br>Tambores, tambores<br>Tambores del mar <br><br><b>Verso 2 </b><br>Tambores, tambores <br>de madera <br>Tambores, tambores <br>tambores, tambores, de mu buena <br><br><b>Coro</b>
Tambores, tambores <br>Tambores, tambores <br>Tambores del mar <br><b>Verso 3</b><br><b>Verso 4</b><br>Tambores que cantan<br>Tambores que bailan 
<b>Coro </b><br>Tambores, Tambores <br>Tambores del mar<br>
","barriles|yubá"
"00:01:31","00:03:00","<b>&quot;Tanta Indecencia&quot;  - Guillermo Mundo</b><br><b>Delegacion del Norte</b><br><b>[Coro]</b>  
Yo no feliz vivir aquí. Yo no feliz vivir aquí, yo lo pedí óyeme bien.
Tanta indecencia, tanta indecencia, tanta indecencia.
<b>[Verso]</b>  
Me sacaron de mi tierra, que cadenas me llevaron.
Ni mi hermana o mi hermano pude ver.
A la amigazos me humillaron, y mi piel ellos marcaron.
Solo a la caña le cantaba mi querer.<br><b>[coro]</b><br>Yo no feliz vivir aquí, yo no feliz vivir aquí, yo no feliz, óyeme bien.
Tanta indecencia.
Tanta indecencia.
Tanta indecencia. <br><b>[Verso]</b>  
Mi nombre me cambiaron, y otro dios me presentaron.
Y en la tira me alejó.
Yo dejé algo en mi memoria,
Estaba toda mi historia,
Y fui libre una vez y lo seré.<br><b>[Coro]</b>  
Yo no feliz vivir aquí,
Yo no feliz vivir aquí,
Yo no feliz vivir aquí.
Tanta indecencia,
Tanta indecencia,
Tanta indecencia.
No pedí bien tanta indecencia.<br><b>[Verso]</b>  
El mayoral me castigaba,
Sangre y sudor me empapaba.
Pero mi alma, siempre libre, quiso ser.
La dignidad y el coraje hacia él.
Donde me llevaron era la muerte
O la libertad de mi ser.<br><b>[Coro]</b>  
Yo no feliz vivir aquí,
Yo no feliz vivir aquí,
Yo no pedí, óyeme bien.
Tanta indecencia,
Tanta indecencia,
Tanta indecencia,
Tanta indecencia.","resistance|bomba|government|oppression|corruption|Delegación del Norte"
"00:07:20","00:08:00","There are eight delegations corresponding to different regions. Bomberos and Bomberos have come from all parts for this historic moment. ",
"00:14:22","00:00:00",,
"00:15:53","00:21:40","<b>Narration:</b> Delegation del Oeste directed by Lisaira Lavar (Agaudilla, Cabo Rojo, Hormigeros, Isabella, Lares, Mayaguez, Quebradillas, San Sebastian) More than 80 barriles in this space.<br><b>&quot;Maria Luisa&quot; </b><br><b>Verso 1/Coro</b><br>Yo canto, yo canto en el orita del rio <br>Para que canta conmigo <br><b>Verso 2 </b><br><b>---</b><br><b>Coro</b><br>Yo canto, yo canto en la horita del rio <br>Para que canta conmigo <br><b>Verso</b> <br>Lanza la ritmo canta <br>reciben con esperanza<br>Que canta bomba conmigo<br><b></b>","barriles"
"00:21:50","00:23:00","<b>&quot;Soy los elementos&quot; performed by the Delegation del Oeste  </b><br><b>Verso 1
</b>Soy tierra
Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Coro</b><br>Soy tierra<br>Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Verso 2 </b><br>Soy tierra<br>Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Coro</b><br>Soy tierra<br>Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero
<b>Verso 3</b><br>Soy río
Soy montaña
Soy cielo
Soy deseo
Cuando entro al batey con mis ancestros<br><b>Coro</b><br>Soy tierra
Soy aire
Soy agua,
Soy fuego
Cuando entro al batey, yo me libero<br><b>Verso 4</b><br>Soy agua
Soy gotas
Soy lluvia
Soy hielo
Cuando entro al batey, fluyo con mis ancestros.<br><b>Coro</b>
Soy tierra
Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Verso</b>
Soy tierra
Soy arena
Soy piedra
Soy suelo
Cuando entro al batey, conecto con mis ancestros<br><b>Coro</b>
Soy tierra
Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Verso</b>
Soy fuego
Soy llama
Soy hoguera,
Soy candela
Cuando entro al batey, luz de mis ancestros<br><b>Coro</b>
Soy tierra
Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero<br><b>Verso</b>
Soy aire
Soy viento
Soy brisa
Soy cielo
Cuando entro al batey, voy con mis ancestros<br><b>Coro</b><br>Soy tierra<br>Soy aire
Soy agua
Soy fuego
Cuando entro al batey, yo me libero","Soy los elementos|Delegación del Oeste"
"00:27:43","00:28:50","<b>&quot;De Mayaguez&quot; performed by the Delegation del Oeste</b><br><b>Coro 1</b><br>Mírame bien a la cara a la cara<br>Mírame Mírame bien a la cara que yo soy de Mayaguez <br><b>Coro 2</b><br>Mírame bien a la cara a la cara<br>Mírame Mírame bien a la cara que yo soy de Mayaguez<br>Mírame bien a la cara a la cara<br>Mírame Mírame bien a la cara que yo soy de Mayaguez<br><b>Coro 3 </b><br>Mírame bien a la cara a la cara<br>Mírame Mírame bien a la cara que yo soy de Mayaguez<br>






















","Delegación del Oeste"
"01:29:36","00:00:00","<b>&quot;El Azul de mi Caribe&quot;</b><br>[coro]
El azul de mi Caribe, el blanco de mi ilusión. El rojo de mi bandera tiene sangre de cimarrón.<br>[verso]","bomba"
"01:36:00","11:38:00","<b>&quot;Yo soy cimmaron&quot; </b><br><b>Delegacion del Norte</b><br><b>[coro]</b><br>Estando en pie de lucha, yo soy cimarrón.
Libertad o muerte, yo soy cimarrón.
En pie de lucha, yo soy cimarrón.
Libertad o muerte, no soy esclavón.
Libertad o muerte, yo soy primero.<br>Estamos en pie de lucha al ritmo de amor.
En pie de lucha, yo soy cimarrón.
Yo soy cimarrón.
He quitado las cadenas, ya borrado al mayor.
Seguiremos en batalla hasta obtener la libertad.
De pie de lucha, yo soy cimarrón","bomba"
"02:12:00","02:00:02","<b>Delegation del Cangrejos </b>","bomba"
"02:14:00","02:20:00","<b>&quot;San Mateo de Cangrejos&quot; performed by the Delegation del Cangrejos, composed by Rafael Maya Alvarez </b><br><b>Coro </b><br>Cangrejos, San Mateo de Cangrejos <br><b>Verso 2 </b><br>San Mateo de Cangrejos <br>Coro<br>Cangrejos, San Mateo de Cangrejos <br><b>Verso 3 </b><br>Linda bomba <br><b>Coro</b><br>Cangrejos, San Mateo de Cangrejos <br><b>Verso 4 </b><br>San Mateo de Cangrejos, San Mateo de Cangrejos <br><b>Coro</b> <br>Cangrejos, San Mateo de Cangrejos <br><b>Verso 5 </b><br>Baila ya <br><b>Coro</b><br>Cangrejos, San Mateo de Cangrejos <br><b>Verso 6</b><br>San Mateo de Cangrejos, San Mateo de Cangrejos <br><b>Coro </b><br>Cangrejos, San Mateo de Cangrejos ","sicá"
"02:42:00","02:47:00","<b>&quot;Suena Ya!&quot; performed by the Delegación de la Diáspora (Arizona, Buffalo, NY, New Jersey, Chicago, Florida, Tijuana)</b><br><b>Verso 1 </b><br>Ay, ai eh <br>Ay, ai eh<br><b>Coro</b><br>Suena los tambores<br>que este baile es bomba  <br>para gozar<br>Suéname los tambores<br>y suéname los cuás<br>que vamos a bailar<br><b>Coro</b><br>Suena, suena ya <br>Suéname los tambores, <br>que vamos a bailar<br><b>Verso</b><br>Mandingo eh <br>Mandingo eh <br>Mandingo eh tambora<br><b>Verso 2 </b><br>Ahora <br><b>Coro</b><br>Mandingo eh <br>Mandingo eh <br>Mandingo eh tambora<br><b>Verso </b><br>Cuando baila este coro","bomba|Delegación de la Diaspora"
"02:48:00","02:50:00","<b>&quot;Oy, yo quiero cantar&quot; - composed by Ishmael Rodriguez</b><br><b>Verso </b><br>Yo quiero bailar bomba <br>Suename los tambores <br><b>Verso 2</b><br>Cuando suena los tambores<br>para que bailar la bomba <br>sola baila <br><b>Coro</b><br>Yo quiero cantar (yo quiero cantar)<br>Yo quiero bailar bomba (yo quiero bailar bomba)<br><b>Verso X</b><br><b>Coro</b><br>Yo quiero cantar (yo quiero cantar)<br>Yo quiero bailar bomba (yo quiero bailar bomba)<br>Suename los tamboes<br>Tambo&#x27; rota<br><b>Verso X</b><br>Esta bomba dedica ","bomba|Delegación de la Diaspora"
