Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:00:06","Le Lo Lai; chicken sounds",
"00:00:21","00:01:57","undefined","Bambulae Se alla"
"00:01:57","00:02:24","images of the ocean",
"00:02:24","00:00:00","Saxophone; jazz<br>images of the ocean",
"00:03:08","00:04:00","Que lo bailo la gracima","Don Rafael Cepeda Atiles|bomba"
"00:03:08","00:04:00","Don Rafael Cepeda discusses his grandfather.","Don Rafael Cepeda Atiles"
"00:03:42","00:04:00",,"Jesus Cepeda"
"00:03:42","00:04:00","undefined","Jesus Cepeda"
"00:04:15","00:00:00",,"Mario Cepeda"
"00:04:15","00:00:00","undefined","Mario Cepeda"
"00:04:52","00:00:00",,"bomba"
"00:04:52","00:04:50","[Cepeda] performs [&quot;song&quot;] on barriles<br>yo que quiera <br>toca la bomba<br>toca la plena <br>son es la melodia <br>cual que quiera <br>la cultura <br>la bomba, la plena <br>es de Rafael Cepeda","bomba|barriles"
"00:05:33","00:06:45","Marien Torres discusses joining the bomba ensemble Plenibom in college led by Norma Salazar and being arrested for protesting in 1999. ","Marien Torres Lopez"
"00:06:45","00:06:52","Diegetic saxophone music plays as images of La Fortaleza in Viejo San Juan are shown ","saxophone"
"00:06:54","00:08:55","At Museo de San Juan, Marien Torres’ dance classes present a re-enactment of the Vieques military occupation protests. The choreography explores the tension and resistance of that historic moment: some dancers embody military figures, their arms rigidly posed like rifles, while others portray the resisters. Through movement, the dancers evoke the emotional and political struggle of the protests, transforming the studio into a living archive of Puerto Rican resistance.","bomba|Marien Torres Lopez"
"00:09:01","00:10:08","Hashlye S. Pérez Vega discusses his relationship to &quot;Yito,&quot; and his growing up surrounded by bomba  ","bomba"
"00:12:20","00:00:00","Discussion of political corruption. Videos of politicians are shown",
"00:13:00","00:00:00","Marien discusses the lack of self-governance in Puerto Rico","holandés|Marien Torres Lopez"
"00:18:50","00:19:00","Diegetic saxophone music plays as Hurricane Maria and past news clips are shown ",
"00:20:39","00:21:00","Diegetic music plays as images of the ocean and the town Mayaguez plays","saxophone"
"00:22:25","00:00:00","Song about hurricane Maria plays as images of someone&#x27;s music production studio and audio editing software are shown","bomba"
"00:24:29","00:25:00","More diegetic saxophone and piano music is played ","saxophone|piano"
"00:28:00","00:30:27","Marien Torres discusses the impact of Puerto Rico&#x27;s soundscape which consisted of chicken cries that changed after hurricane Maria and also how even these animals exemplify resilience. She also discusses how the water flooded her house and her new house which is quite empty",
"00:30:40","00:00:00","Bayamon",
"00:32:18","00:00:00","Marrien Torres discusses how she had to make changes to her quality of living to continue paying for her daughter&#x27;s education and to continue paying her bomba instructors.","poverty"
"00:33:38","00:34:00","Rio Grande",
"00:34:38","00:35:00","Protests discussing the wages in Puerto Rico. ",
"00:35:00","00:36:00","In a car ride, Marien discussed civil rights, bomba, and gender issues.",
"00:36:15","00:38:36","All female bomba group playing at a bar in Rio Piedras. ","bomba"
"00:36:34","00:38:36","undefined","bomba"
"00:38:56","00:00:00","EBPDCB is depicted. Cary Cepeda instructs classes in Viejo San Juan","bomba|Cary Cepeda"
"00:39:00","00:00:00","Cary Cepeda discusses her family history and legacy.","Cary Cepeda"
"00:40:27","00:41:00","Unidentified bomba song","bomba|barriles"
"00:41:30","00:00:00","Cary Cepeda discusses the suffering, and labor required of carrying on the legacy of bomba. They had to carry heavy drums very far to neighboring towns. ","add context|Cary Cepeda"
"00:41:30","00:00:00","poverty theme; suffer for the culture","add context"
"00:43:12","00:00:00","Generational changes. The new generation has it a little easier than the last. If they did not teach, they knew it would not continue. ",
"00:43:32","00:00:00","sustainability and musical endangerment",
"00:44:32","00:46:00","Unidentified bomba song. Discussing spirituality in bomba and community formation. ","bomba"
"00:49:55","00:00:00","8 Encuentro de Tambores",
"00:51:16","00:00:00","Puerto Rican Delegation in Carolina","Estoy llamando"
"00:54:21","00:00:00","<b>&quot;Yo Bailare&quot; </b>performed by the Delegation de Loiza<br><b>Coro </b><br>Yo bailare<br>yo bailare <br>es de la bomba ","bomba|Delegación de Loiza"
"00:55:10","00:56:00","Delegation of the Diaspora. Ivelisse Dias of La Escuelita de Bombera Corazon presents a solo. ","bomba"
"00:56:31","00:00:00","diegetic music ","saxophone"
"00:56:31","00:57:23","Diegetic saxophone music plays while Marien Torres discusses the trenches, cultural labor, and the values of resilience inherent to bomba and creating spaces for healing. ","saxophone"
"00:59:06","01:00:58","Bomba used for the 2019 protests. Clips of orotest music shown. Police whistles heard in the background.","Candela"
"01:00:57","01:00:58","Chickens and baby chickens appear on screen to close alluding to hope, as their presence was discussed by Marien Torres earlier in the film",
