Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:01:03","Música jíbara","accordion|barriles|sicá"
"00:01:03","00:01:10","[Applauses]<br>&quot;Que pasa que vala las mujeres que bailan esa plena&quot; ","nonspeech"
"00:01:05","00:08:00","&quot;Que no me vaya olvidar&quot;","accordion|barriles|plena"
"00:05:08","00:00:00","Dandy Figure",
"00:08:03","00:10:40","<b>Covered by: </b>Cortijo y su combo (Martinez) <br><br><b>Letras:</b><br>(Coro)<br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br><br>(Verse 1)<br>Yo los traigo de limón, también traigo de canela<br>Porque nadie le da un bombón, bom, a la pobre de Elena, que bom<br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br><br>(Verse 2)<br>Ay, señoras y señores, eso sí que daba pena<br>Que nadie le da un bombón, bom, a la pobre de Elena<br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br><br>(Coro)<br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br>En la calle de la calma, que estaban bailando plena<br>Bailando la rica plena, la rica plena de elena, marcela<br><br>Elena toma bombón, bom, toma bombón elena<br>Elena toma bombón, bom, toma bombón Elena<br><br>Elena, elena, elena, elena, Elenatoma bombón<br>Toma bombón elena, que Elenita pide bombón<br>Ancón, a elena le doy bombon, sabrosón<br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br><br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br>Ay, señoras y señores, eso sí que daba pena<br>Que nadie le da un bombón, bom, a la pobre de Elena<br><br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena<br>En la calle de la calma, que estaban bailando plena<br>Bailando la rica plena, la rica plena de Elena, Marcela<br><br>Elena toma bombón, bom, toma bombón Elena<br>Elena toma bombón, bom, toma bombón Elena","lyrics|El Bombon de Elena|Don Rafael Cepeda Atiles|accordion"
"00:10:45","00:00:00","Luis Palés Matos introduces Don Rafael Cepeda performing &quot;Anaiso&quot; Yuba al Frances","Luis Palo Matos|Don Rafael Cepeda Atiles"
"00:11:40","00:16:22","<b>Covered by: </b>Grupo Afro Boricua","Don Rafael Cepeda Atiles|yubá|Anaiso"
"00:15:08","00:00:00","Transition in the play. Only the barriles are sounding.","barriles"
"00:16:40","00:21:18","<b>Context: </b>Speaker discusses the history of Bomba. <br><b>Title:</b> [Bomba en marine] Check<br><br>lo afirma que la bomba tocaba en el barril","add context|Jesus Cepeda|barriles"
"00:19:31","00:00:00","<b>Context: </b>African Title <br>&quot;Otonono barrile&quot;","add context|Otonono barrile|sicá|Doña Caridad Brenes de Cepeda"
